"","yearmon","nombre.Agencia","Total"
"208",2011-06-01,"EDS ESPERANZA VILLAV",38.75
"209",2011-07-01,"EDS ESPERANZA VILLAV",43.5
"210",2011-08-01,"EDS ESPERANZA VILLAV",26.25
"211",2011-01-01,"EDS GALARZA IBAGUE",33.125
"212",2011-02-01,"EDS GALARZA IBAGUE",45.848
"213",2011-03-01,"EDS GALARZA IBAGUE",44.25
"214",2011-04-01,"EDS GALARZA IBAGUE",35.125
"215",2011-05-01,"EDS GALARZA IBAGUE",28.875
"216",2011-06-01,"EDS GALARZA IBAGUE",30.375
"217",2011-07-01,"EDS GALARZA IBAGUE",61.625
"218",2011-01-01,"EDS JARDIN IBAGUE",131.625
"219",2011-02-01,"EDS JARDIN IBAGUE",116.375
"220",2011-03-01,"EDS JARDIN IBAGUE",130.375
"221",2011-04-01,"EDS JARDIN IBAGUE",125.875
"222",2011-05-01,"EDS JARDIN IBAGUE",123.625
"223",2011-06-01,"EDS JARDIN IBAGUE",119
"224",2011-07-01,"EDS JARDIN IBAGUE",115.375
"225",2011-01-01,"EDS JORDAN IBAGUE",28.875
"226",2011-02-01,"EDS JORDAN IBAGUE",20.375
"227",2011-03-01,"EDS JORDAN IBAGUE",28.875
"228",2011-04-01,"EDS JORDAN IBAGUE",32.25
"229",2011-05-01,"EDS JORDAN IBAGUE",25
"230",2011-06-01,"EDS JORDAN IBAGUE",24
"231",2011-07-01,"EDS JORDAN IBAGUE",22.375
"232",2011-01-01,"EDS LIBERTADORES VIL",184.625
"233",2011-02-01,"EDS LIBERTADORES VIL",117.25
"234",2011-03-01,"EDS LIBERTADORES VIL",135.625
"235",2011-04-01,"EDS LIBERTADORES VIL",132.75
"236",2011-05-01,"EDS LIBERTADORES VIL",114.75
"237",2011-06-01,"EDS LIBERTADORES VIL",127.625
"238",2011-07-01,"EDS LIBERTADORES VIL",134.125
"239",2011-08-01,"EDS LIBERTADORES VIL",5.5
"240",2011-01-01,"EDS LUARCOR NEIVA",37.5
"241",2011-02-01,"EDS LUARCOR NEIVA",41.75
"242",2011-03-01,"EDS LUARCOR NEIVA",47.125
"243",2011-04-01,"EDS LUARCOR NEIVA",49.75
"244",2011-05-01,"EDS LUARCOR NEIVA",45.125
